========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
  ISRU (Raw Materials):        4.11 kg  ( 37.0%)
  Imported:                    2.00 kg  ( 18.0%)
  Unresolved:                  5.00 kg  ( 45.0%)
  ────────────────────────────────────────
  Total Calculated:           11.11 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  raw_ore_or_regolith                                        4.11 kg       4.11 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  control_compute_module_imported                         1.00 count       2.00 kg

UNRESOLVED ITEMS (Missing recipes or definitions):
--------------------------------------------------------------------------------
  sensor_suite_general                                    1.00 count       5.00 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Process 'excavate_regolith_surface_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'lunar_regolith_in_situ' has null/zero quantity
  ! Process 'regolith_screening_sieving_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_excavated' has null/zero quantity
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_powder' has null/zero quantity
  ! Process 'oxygen_extraction_molten_regolith_electrolysis_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'process_power' has null/zero quantity
  ! Process 'welding_brazing_basic_v0' (in recipe 'recipe_sintering_furnace_shell_v0') input 'cast_metal_parts' has null/zero quantity
  ! Process 'sintering_and_hot_pressing_v0' (in recipe 'recipe_sintering_furnace_shell_v0') input 'regolith_fine_fraction' has null/zero quantity
  ! Process 'sintering_and_hot_pressing_v0' (in recipe 'recipe_insulation_pack_high_temp_v0') input 'regolith_fine_fraction' has null/zero quantity
  ! Recipe 'recipe_sensor_suite_general_v0' for 'sensor_suite_general' has no inputs
  ! Process 'welding_brazing_basic_v0' (in recipe 'recipe_cooling_loop_basic_v0') input 'cast_metal_parts' has null/zero quantity
  ! Process 'forging_bearing_ring_blanks_v0' (in recipe 'recipe_bearing_ring_blanks_v0') input 'steel_stock_bar_or_billet' has null/zero quantity
  ! Process 'cutting_basic_v0' (in recipe 'recipe_cut_parts_v0') input 'stock_material' has null/zero quantity

================================================================================


================================================================================
CLOSURE ANALYSIS: Laser Engineered Net Shaping Lunar Machine v0 (lens_machine_lunar_v0)
================================================================================
