========================================================================================================================
CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
controlled_atmosphere_chamber                   250.0 kg      94.9%       5.1%       0.0%
stewart_platform_calibrator                     150.0 kg      96.0%       4.0%       0.0%
solar_tracking_optional                         150.0 kg      96.1%       3.9%       0.0%
electrical_test_equipment                        40.0 kg      96.1%       3.9%       0.0%
signal_generator                                 25.0 kg      96.4%       3.6%       0.0%
tensioning_equipment                             25.0 kg      97.1%       2.9%       0.0%
bench_grinder                                    35.0 kg      97.2%       2.8%       0.0%
signal_generator_analog_v0                       15.0 kg      97.4%       2.6%       0.0%
pheromone_digital_system_v0                       0.0 kg      97.5%       2.5%       0.0%
obstacle_avoidance_ai_v0                          1.0 kg      98.6%       1.4%       0.0%
path_planning_algorithm_v0                        1.0 kg      98.6%       1.4%       0.0%
resource_prospecting_ai_v0                        1.0 kg      98.6%       1.4%       0.0%
neims_control_system_v0                           2.0 kg      98.7%       1.3%       0.0%
order_holon_v0                                    1.0 kg      99.0%       1.0%       0.0%
nife_meteorite_magnetic_detection_v0             12.0 kg      99.6%       0.4%       0.0%
tube_bender                                     200.0 kg       0.0%       0.0%       0.0%
heat_pipe_solar_receiver_v0                     150.0 kg       0.0%       0.0%       0.0%
cryocooler_active_v0                             25.0 kg       0.0%       0.0%       0.0%
amari_neural_field_hardware_v0                    2.0 kg       0.0%       0.0%       0.0%
fixturing_workbench                             150.0 kg       0.0%       0.0%       0.0%
manufacturing_cell_v0                          1500.0 kg       0.0%       0.0%       0.0%
powder_compactor_v0                             600.0 kg       0.0%       0.0%       0.0%
packed_bed_distillation_v0                     1200.0 kg       0.0%       0.0%       0.0%
distillation_column_simple_v0                   180.0 kg       0.0%       0.0%       0.0%
pellet_press                                    800.0 kg       0.0%       0.0%       0.0%
rms_reconfigurable_system_v0                    200.0 kg       0.0%       0.0%       0.0%
strain_gauge_bonding_station_v0                  25.0 kg       0.0%       0.0%       0.0%
chemical_reactor_unit_v0                       1200.0 kg       0.0%       0.0%       0.0%
cellular_manufacturing_layout_v0                  1.0 kg       0.0%       0.0%       0.0%
wheel_load_cell_system_v0                        60.0 kg       0.0%       0.0%       0.0%

========================================================================================================================


================================================================================
CLOSURE ANALYSIS: PCB fabrication station (pcb_fab_station)
================================================================================

Machine Total Mass: 350.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):        0.00 kg  (  0.0%)
  Imported:                    2.00 kg  (100.0%)
  Unresolved:                  0.00 kg  (  0.0%)
  ────────────────────────────────────────
  Total Calculated:            2.00 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  regolith_lunar_mare                                   394547.62 kg       0.00 kg
  solar_irradiance                                     279125.53 kWh       0.00 kg
  regolith_carbonaceous                                   5255.25 kg       0.00 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  electronic_components_set                               1.00 count       2.00 kg

================================================================================


================================================================================
CLOSURE ANALYSIS: Sintering furnace v0 (sintering_furnace_v0)
================================================================================

Machine Total Mass: 950.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):        0.00 kg  (  0.0%)
  Imported:                   14.00 kg  (100.0%)
  Unresolved:                  0.00 kg  (  0.0%)
  ────────────────────────────────────────
  Total Calculated:           14.00 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  regolith_lunar_mare                                    67813.34 kg       0.00 kg
  solar_irradiance                                      52278.16 kWh       0.00 kg
  regolith_carbonaceous                                      0.01 kg       0.00 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  assembly_components                                        5.00 kg       5.00 kg
  sensor_suite_general                                    1.00 count       5.00 kg
  temperature_sensing                                     1.00 count       2.00 kg
  control_compute_module_imported                         1.00 count       2.00 kg

================================================================================


================================================================================
CLOSURE ANALYSIS: Laser Engineered Net Shaping Lunar Machine v0 (lens_machine_lunar_v0)
================================================================================

Machine Total Mass: 600.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):       58.60 kg  (  0.0%)
  Imported:              1090997.14 kg  (100.0%)
  Unresolved:                  0.00 kg  (  0.0%)
  ────────────────────────────────────────
  Total Calculated:      1091055.74 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  raw_materials_batch                                       58.60 kg      58.60 kg
  regolith_lunar_mare                                   699299.18 kg       0.00 kg
  solar_irradiance                                     532716.52 kWh       0.00 kg
  regolith_carbonaceous                                  17542.84 kg       0.00 kg
  regolith_lunar_highlands                              521375.80 kg       0.00 kg
  regolith_polar_psc                                    109082.92 kg       0.00 kg

IMPORTED ITEMS:
--------------------------------------------------------------------------------
  salt_waste                                           1090813.55 kg  1090813.55 kg
  fluorite                                                 181.88 kg     181.88 kg
  electronic_components_set                                0.73 unit       0.93 kg
  import_magnesium_powder                                    0.47 kg       0.47 kg
  copper_rod_ingot                                           0.11 kg       0.11 kg
  assembly_components                                        0.08 kg       0.08 kg
  emulsifying_oil                                            0.05 kg       0.05 kg
  etching_chemicals                                          0.05 kg       0.05 kg
  corrosion_inhibitor                                        0.01 kg       0.01 kg
  biocide_additive                                           0.01 kg       0.01 kg
  voltage_regulator_ic                                     0.22 each       0.00 kg
  crystal_oscillator_timing                                0.22 each       0.00 kg
  resistor_chip_smd                                        3.26 each       0.00 kg
  epoxy_monomer_v0                                           0.00 kg       0.00 kg
  compiled_firmware_binary                                 0.10 unit       0.00 kg

================================================================================


================================================================================
CLOSURE ANALYSIS: Cement mixer (small) (cement_mixer_small)
================================================================================

Machine Total Mass: 120.00 kg

