========================================================================================================================
MATERIAL CLOSURE ANALYSIS SUMMARY - ALL MACHINES
========================================================================================================================

Machine ID                                 Total Mass     ISRU %   Import %    Unres %
build_atmosphere_control_v0                     100.0 kg     100.0%       0.0%       0.0%
haber_bosch_reactor_v0                         1500.0 kg     100.0%       0.0%       0.0%
amari_neural_field_hardware_v0                    2.0 kg     100.0%       0.0%       0.0%
thermionic_converter_v0                          45.0 kg     100.0%       0.0%       0.0%
co2_co_ratio_control_ffc_v0                       2.0 kg     100.0%       0.0%       0.0%
lab                                              60.0 kg     100.0%       0.0%       0.0%
blast_furnace_or_smelter                       5000.0 kg     100.0%       0.0%       0.0%
oxygen_collection_system_ffc_v0                  60.0 kg     100.0%       0.0%       0.0%
epoxy_synthesis_unit                            200.0 kg     100.0%       0.0%       0.0%
crucible_set                                     50.0 kg     100.0%       0.0%       0.0%
thermal_water_extractor                         300.0 kg     100.0%       0.0%       0.0%
solar_concentrator_fresnel                      320.0 kg     100.0%       0.0%       0.0%
hydraulic_assembly_tools                         15.0 kg     100.0%       0.0%       0.0%
chemical_reactor_unit_v1_v0                    1200.0 kg     100.0%       0.0%       0.0%
fixturing_workbench                             150.0 kg     100.0%       0.0%       0.0%
manufacturing_cell_v0                          1500.0 kg     100.0%       0.0%       0.0%
cleaning_station_basic_v0                        60.0 kg     100.0%       0.0%       0.0%
yn_mlp_network_hardware_v0                       40.0 kg     100.0%       0.0%       0.0%
electrolysis_cell_unit_v0                        25.0 kg     100.0%       0.0%       0.0%
thermionic_topping_cycle_v0                     120.0 kg     100.0%       0.0%       0.0%
powder_compactor_v0                             600.0 kg     100.0%       0.0%       0.0%
packed_bed_distillation_v0                     1200.0 kg     100.0%       0.0%       0.0%
fms_control_system_v0                            25.0 kg     100.0%       0.0%       0.0%
robot_gripper_multi_finger_v0                     6.0 kg     100.0%       0.0%       0.0%
reactor_heating_cooling_system_v0               800.0 kg     100.0%       0.0%       0.0%
metal_powder_sieving_system_v0                   60.0 kg     100.0%       0.0%       0.0%
crystallization_unit_v0                         500.0 kg     100.0%       0.0%       0.0%
precision_stage                                  75.0 kg     100.0%       0.0%       0.0%
cryogenic_chiller_provider_v0                   600.0 kg     100.0%       0.0%       0.0%
ebm_machine_lunar_v0                           1800.0 kg     100.0%       0.0%       0.0%
material_handling_equipment                     400.0 kg       0.0%       0.0%       0.0%
neims_control_system_v0                           2.0 kg     100.0%       0.0%       0.0%
surface_treatment_station                       300.0 kg     100.0%       0.0%       0.0%
thermionic_power_system_v0                      500.0 kg     100.0%       0.0%       0.0%
chemical_reactor_unit_v1                        220.0 kg     100.0%       0.0%       0.0%
universal_turing_machine_lunar_v0               500.0 kg     100.0%       0.0%       0.0%
measurement_equipment                            30.0 kg     100.0%       0.0%       0.0%
distillation_column_simple_v0                   180.0 kg     100.0%       0.0%       0.0%
pellet_press                                    800.0 kg     100.0%       0.0%       0.0%
carbon_safety_system_v0                          60.0 kg     100.0%       0.0%       0.0%
machine_vision_processing_v0                      6.0 kg     100.0%       0.0%       0.0%
extraction_unit                                 200.0 kg       0.0%       0.0%       0.0%
carbonyl_safety_system_v0_v0                     60.0 kg     100.0%       0.0%       0.0%
carbonyl_safety_system_v0                        60.0 kg     100.0%       0.0%       0.0%
ratslam_hardware_implementation_v0                3.0 kg     100.0%       0.0%       0.0%
rms_reconfigurable_system_v0                    200.0 kg     100.0%       0.0%       0.0%
solar_concentrator_fresnel_v0                   320.0 kg     100.0%       0.0%       0.0%
rivet_installation_tool_v0                        8.0 kg     100.0%       0.0%       0.0%
welding_spot_welder_v0                          100.0 kg     100.0%       0.0%       0.0%
pete_photon_enhanced_thermionic_v0              100.0 kg     100.0%       0.0%       0.0%
hydrogen_oxygen_torch_v0                         15.0 kg       0.0%       0.0%       0.0%
filtration_unit                                 180.0 kg     100.0%       0.0%       0.0%
fms_control_system_v0_v0                         25.0 kg     100.0%       0.0%       0.0%
robot_gripper_parallel_jaw_v0                     5.0 kg     100.0%       0.0%       0.0%
assembly_workbench_v0                           120.0 kg     100.0%       0.0%       0.0%
strain_gauge_bonding_station_v0                  25.0 kg     100.0%       0.0%       0.0%
calibration_station                             150.0 kg     100.0%       0.0%       0.0%
demonstrated_solar_concentrator_2017_v0         100.0 kg     100.0%       0.0%       0.0%
cryogenic_chiller_provider_v0_v0                600.0 kg     100.0%       0.0%       0.0%
electrolyzer_pem_v0                             260.0 kg     100.0%       0.0%       0.0%
mixing_station                                   50.0 kg       0.0%       0.0%       0.0%
powder_mixer                                     80.0 kg     100.0%       0.0%       0.0%
furnace_high_temp                               800.0 kg     100.0%       0.0%       0.0%
chemical_reactor_unit_v0                       1200.0 kg       0.0%       0.0%       0.0%
cellular_manufacturing_layout_v0                  1.0 kg     100.0%       0.0%       0.0%
forging_press_v0                                850.0 kg     100.0%       0.0%       0.0%
regolith_brick_press_v0                        1200.0 kg       0.0%       0.0%       0.0%
welding_consumables                              25.0 kg     100.0%       0.0%       0.0%
chemical_reactor_heated                         600.0 kg     100.0%       0.0%       0.0%
chemical_reactor_heated_v0_v0                   600.0 kg     100.0%       0.0%       0.0%
carbon_safety_system_v0_v0                       60.0 kg     100.0%       0.0%       0.0%
microscope_inspection_stereo                     12.0 kg     100.0%       0.0%       0.0%
nife_meteorite_magnetic_detection_v0             12.0 kg     100.0%       0.0%       0.0%
generic_chemical_reactor_v0                     250.0 kg     100.0%       0.0%       0.0%
water_purification_distillation_v0              120.0 kg     100.0%       0.0%       0.0%
filler_material_station_v0                       15.0 kg     100.0%       0.0%       0.0%
radio_transmitter_vacuum_tube_v0                 50.0 kg     100.0%       0.0%       0.0%
wire_crimping_tools                               5.0 kg     100.0%       0.0%       0.0%
analog_test_bench_neural_v0                     100.0 kg     100.0%       0.0%       0.0%
annealing_oven_small                            180.0 kg       0.0%       0.0%       0.0%
test_bench_electrical                           200.0 kg     100.0%       0.0%       0.0%
heat_transport_system                           120.0 kg     100.0%       0.0%       0.0%
bench_grinder                                    35.0 kg     100.0%       0.0%       0.0%
wheel_load_cell_system_v0                        60.0 kg     100.0%       0.0%       0.0%
epoxy_processing_unit                           150.0 kg     100.0%       0.0%       0.0%
stamping_press_basic                           1000.0 kg     100.0%       0.0%       0.0%
chemical_reactor_heated_v0                      600.0 kg     100.0%       0.0%       0.0%
czochralski_puller_v0                           500.0 kg     100.0%       0.0%       0.0%
screening_equipment                              60.0 kg     100.0%       0.0%       0.0%
power_distribution_bus                          200.0 kg     100.0%       0.0%       0.0%
electronic_assembly_v0                           50.0 kg       0.0%       0.0%       0.0%
metal_cutting_saw                               250.0 kg     100.0%       0.0%       0.0%
furnace                                         900.0 kg       0.0%       0.0%       0.0%
casting_mold_set                                100.0 kg     100.0%       0.0%       0.0%
manual_labour                                    75.0 kg     100.0%       0.0%       0.0%
heat_pipe_solar_receiver_advanced_v0            150.0 kg     100.0%       0.0%       0.0%
vacuum_chamber                                  150.0 kg       0.0%       0.0%       0.0%
polishing_station                               120.0 kg     100.0%       0.0%       0.0%
surface_treatment_station_v0                   1200.0 kg     100.0%       0.0%       0.0%
power_conditioner                               100.0 kg     100.0%       0.0%       0.0%

========================================================================================================================


================================================================================
CLOSURE ANALYSIS: PCB fabrication station (pcb_fab_station)
================================================================================

Machine Total Mass: 350.00 kg

MATERIAL BREAKDOWN (by mass):
--------------------------------------------------------------------------------
  ISRU (Raw Materials):      141.00 kg  (100.0%)
  Imported:                    0.00 kg  (  0.0%)
  Unresolved:                  0.00 kg  (  0.0%)
  ────────────────────────────────────────
  Total Calculated:          141.00 kg

RAW MATERIALS (ISRU):
--------------------------------------------------------------------------------
  regolith_raw                                             100.00 kg     100.00 kg
  raw_ore_or_regolith                                       41.00 kg      41.00 kg
  solar_irradiance                                         10.00 kWh       0.00 kg

ERRORS/WARNINGS:
--------------------------------------------------------------------------------
  ! Process 'regolith_crushing_grinding_v0' (in recipe 'recipe_metal_alloy_bulk_v0') input 'regolith_coarse_fraction' has null/zero quantity
